Date,NVDA,MSFT,AAPL,GOOGL,META,TSLA,AVGO,ORCL,WMT,COST,PG,KO,JPM,V,MA,BRK-B,LLY,JNJ,UNH,ABBV
2015-12-08,0.8186150193214417,48.850318908691406,26.657201766967773,38.491519927978516,105.83753967285156,15.114666938781738,11.283954620361328,33.295005798339844,16.594696044921875,142.09463500976562,59.056278228759766,31.410184860229492,50.32807540893555,73.71955108642578,92.45204162597656,133.36000061035156,72.78170013427734,77.64431762695312,99.3878173828125,37.390716552734375
2015-12-09,0.7978811860084534,48.14106750488281,26.0687198638916,37.866329193115234,103.95912170410156,14.968000411987305,11.121315002441406,33.166053771972656,16.4610652923584,134.39544677734375,59.01830291748047,31.15459442138672,49.94657516479492,72.61005401611328,92.11305236816406,131.7100067138672,70.63385772705078,77.43964385986328,98.67593383789062,36.968441009521484
2015-12-10,0.8044673204421997,48.39500045776367,26.19272804260254,37.74169158935547,104.77409362792969,15.137999534606934,11.249592781066895,32.83078384399414,16.580772399902344,136.19607543945312,59.086666107177734,31.227615356445312,50.061031341552734,72.83380126953125,91.91529083251953,131.7100067138672,71.51824951171875,77.81111145019531,99.67088317871094,36.803489685058594
2015-12-11,0.7925150394439697,47.33550262451172,25.518577575683594,37.26398468017578,101.49432373046875,14.468000411987305,11.027400970458984,31.988304138183594,16.525104522705078,134.64791870117188,59.079071044921875,30.869775772094727,48.885986328125,70.95983123779297,89.29750061035156,130.30999755859375,70.15374755859375,77.08333587646484,99.47360229492188,35.65543746948242
2015-12-14,0.7944662570953369,48.28116989135742,25.36075210571289,37.8658332824707,104.01874542236328,14.571999549865723,10.881555557250977,32.3665657043457,16.81183433532715,136.1793212890625,59.46644592285156,31.00124168395996,49.038604736328125,71.66841125488281,90.68175506591797,132.02000427246094,71.32453918457031,77.43964385986328,99.36209869384766,36.579158782958984
2015-12-15,0.8042234182357788,48.333702087402344,24.912065505981445,37.74417495727539,103.90943145751953,14.739333152770996,10.939586639404297,32.84797668457031,16.603044509887695,135.71649169921875,60.52224349975586,31.454008102416992,50.434906005859375,73.30000305175781,92.68745422363281,134.8800048828125,72.03206634521484,78.94065856933594,100.87161254882812,37.20595932006836
2015-12-16,0.8091017007827759,49.148014068603516,25.103710174560547,38.56352233886719,106.13571166992188,15.633999824523926,11.020008087158203,33.449745178222656,16.78677749633789,136.95347595214844,61.517269134521484,32.01634216308594,51.52600860595703,74.45608520507812,94.20355987548828,135.8800048828125,72.68062591552734,79.78974151611328,101.9179916381836,38.02412796020508
2015-12-17,0.796905517578125,48.77149963378906,24.571603775024414,38.227840423583984,105.56919860839844,15.559332847595215,10.759598731994629,31.747608184814453,16.419307708740234,135.20323181152344,60.98556900024414,31.760730743408203,50.57223892211914,73.3652572631836,93.53495788574219,133.97000122070312,72.62166595458984,78.5691909790039,102.2524642944336,37.199371337890625
2015-12-18,0.7839776873588562,47.39680480957031,23.906471252441406,37.583282470703125,103.4025650024414,15.36400032043457,10.738151550292969,31.248992919921875,16.38311767578125,132.69573974609375,59.34492492675781,31.037736892700195,49.13779830932617,71.15560913085938,90.67231750488281,129.52999877929688,71.40035247802734,77.28800964355469,99.33637237548828,36.77710723876953
2015-12-21,0.802515983581543,48.00973129272461,24.1995792388916,37.7794303894043,104.1280746459961,15.503999710083008,11.167065620422363,31.309165954589844,16.577993392944336,134.11773681640625,59.967777252197266,31.24222183227539,50.007606506347656,71.94810485839844,91.37854766845703,131.19000244140625,72.47004699707031,77.00753021240234,100.7000732421875,37.08060073852539
2015-12-22,0.8032475709915161,48.46504592895508,24.17703628540039,38.09375762939453,104.86355590820312,15.329999923706055,11.113450050354004,31.455305099487305,16.85359764099121,135.6659698486328,60.46146774291992,31.61467170715332,50.11444091796875,72.1438980102539,91.84939575195312,133.13999938964844,72.36054992675781,77.86416625976562,100.72581481933594,37.99771499633789
2015-12-23,0.8064184784889221,48.87657928466797,24.488182067871094,38.162288665771484,103.98893737792969,15.313332557678223,11.221447944641113,31.747608184814453,17.006704330444336,136.0699462890625,60.704551696777344,31.89219093322754,50.91559600830078,73.24404907226562,92.96996307373047,134.14999389648438,72.60482025146484,78.45550537109375,101.79792785644531,38.65092849731445
2015-12-24,0.8091017007827759,48.7452392578125,24.357412338256836,38.029701232910156,104.37654113769531,15.371333122253418,11.206892967224121,31.816377639770508,16.934329986572266,136.10357666015625,60.60581970214844,31.797252655029297,50.81639099121094,72.96435546875,92.8381118774414,133.88999938964844,72.30999755859375,78.62985229492188,101.49769592285156,38.571754455566406
2015-12-28,0.8083702325820923,48.99040985107422,24.084592819213867,38.84408950805664,105.28097534179688,15.263333320617676,11.209189414978027,31.62724494934082,16.91205406188965,135.60711669921875,60.704551696777344,31.760730743408203,50.64854049682617,73.21607208251953,92.78163146972656,133.1199951171875,72.00675964355469,78.25080108642578,101.48912811279297,38.763099670410156
2015-12-29,0.8215420842170715,49.51577377319336,24.51749038696289,39.42607879638672,106.60282135009766,15.812666893005371,11.330972671508789,31.842166900634766,17.151472091674805,136.8692626953125,61.03874206542969,31.921405792236328,51.175018310546875,73.8500747680664,93.9021987915039,134.13999938964844,72.64691925048828,78.8648681640625,102.76708984375,39.224945068359375
2015-12-30,0.8144680857658386,49.30564498901367,24.197322845458984,39.244327545166016,105.56919860839844,15.87266731262207,11.287313461303711,31.739011764526367,17.170949935913086,136.91131591796875,60.81847381591797,31.81915283203125,50.80876159667969,73.04827880859375,93.10179138183594,133.25999450683594,72.60482025146484,78.67535400390625,101.99518585205078,39.455875396728516
2015-12-31,0.8039793372154236,48.578880310058594,23.73286247253418,38.634033203125,104.01874542236328,16.000667572021484,11.117278099060059,31.40374183654785,17.06517219543457,135.89321899414062,60.317161560058594,31.37368392944336,50.3814811706543,72.30241394042969,91.67988586425781,132.0399932861328,70.97077178955078,77.87178802490234,100.89735412597656,39.08638381958008
2016-01-04,0.789587676525116,47.983455657958984,23.753150939941406,37.71189880371094,101.59370422363281,14.894000053405762,10.8974609375,30.85990333557129,17.109710693359375,134.2439727783203,59.5272216796875,30.96471405029297,48.868282318115234,70.57759857177734,89.27865600585938,130.75,69.80001831054688,76.17362976074219,99.88529968261719,38.01092529296875
